comment_id,source_url,author,content,posted_at,collected_at
faa661c44d291d9b85ac1336b1f72a411f9c3154,https://kamikouryaku.net/nightreign_eldenring/?%E9%9A%A0%E8%80%85,,[#x5di] 特化すればちゃんと強いよ。威力は申し分なく出る どちらかというとダメージがワンテンポ遅れて出る使いづらさの方が問題だと思う 盾めくりできたり強みもあるっちゃあるけど 2025-12-08 (月) 22:41:00 [ID:p-14dj-ea39-85ta],2025-12-08T13:41:00+00:00,2025-12-13T07:45:38.025870+00:00
11588db3ec049ff994f8ef509b8881df8689019f,https://kamikouryaku.net/nightreign_eldenring/?%E9%9A%A0%E8%80%85,,[#8sz2] 輝剣変更輝剣強化侵入者とかいう一見神遺物が手に入ったのでやったけど強くは無い。 つぶてよりタイムラグがある代わりに威力が高く溜め使用可能、なのは良いが中盤以降に手に入る強力な魔術は超えられない。 雑魚狩りはアークが優秀過ぎるし、ボス狩りは結晶や速剣の方が強い。 せめて巨剣陣がレア杖の固定枠だったら可能性があったかも知れない。 結晶や速剣に特化出来ないなら付いてるだけマシ、と言う評価。 一応ソロなら盾持ちへ有効なので便利ではある。 2025-12-08 (月) 22:45:19 [ID:p-7597-2fdf-8eiw],2025-12-08T13:45:19+00:00,2025-12-13T07:45:38.025870+00:00
1b05d43ec375b77a9ecc93be19d77e23da8d412b,https://kamikouryaku.net/nightreign_eldenring/?%E9%9A%A0%E8%80%85,,[#bz7s] やっぱ微妙なんか… 重力の初期変更ならまた違ったろうに輝剣じゃ力不足か 2025-12-09 (火) 07:01:02 [ID:m-aar4-e951-cx7n],2025-12-08T22:01:02+00:00,2025-12-13T07:45:38.025870+00:00
6c5b386d05efb1b2a4a4bb7e72b7f6b7b0bf4e95,https://kamikouryaku.net/nightreign_eldenring/?%E9%9A%A0%E8%80%85,,[#1wce] ソロ用でビルド組んでおくのはアリだと思う。接敵するまでスタミナ消費なしで輝剣を大量設置できるので深度5のフィールドボスもサクッと倒せる。あとマルチと違ってソロならかなり当てやすい 2025-12-09 (火) 10:26:19 [ID:p-6jw4-190f-7kux],2025-12-09T01:26:19+00:00,2025-12-13T07:45:38.025870+00:00
3d9e6ab2ea1a82af572958e41ef99961d2f530d8,https://kamikouryaku.net/nightreign_eldenring/?%E9%9A%A0%E8%80%85,,[#f2pe] おもろいけど展開してサブの礫撃つみたいなスタイルになると思うけど 気がつけば礫ばっかり撃ってる事に気がつくよ 2025-12-09 (火) 14:19:13 [ID:p-6l4d-3a71-85ta],2025-12-09T05:19:13+00:00,2025-12-13T07:45:38.025870+00:00
9f1fb8aa65decd0859673bdfb0a4c2057fcb983d,https://kamikouryaku.net/nightreign_eldenring/?%E9%9A%A0%E8%80%85,,[#5gew] 輝剣は持久戦か体勢崩しを一気に狙う時には強いけど、マルチだと相性悪くて別の魔術で良いかなってなるはず 2025-12-09 (火) 18:00:30 [ID:p-8qty-24c4-3l7g],2025-12-09T09:00:30+00:00,2025-12-13T07:45:38.025870+00:00
22b8266fe3d4b536cece66d17f3d5b8421378820,https://kamikouryaku.net/nightreign_eldenring/?%E9%9A%A0%E8%80%85,,[#22mo] 葬儀屋さんがいるときは雑にアーツ吐いてもほぼ確で怯ませてくれるから好き 2025-12-08 (月) 23:25:06 [ID:p-9tvu-745f-1oac] [#5gzn] あれのおかげで、アーツ後メテオやアズール砲が当てやすくてとてもいい。 葬儀屋のHPが少ないときに使えば聖杯瓶の節約に貢献できるしね。 2025-12-10 (水) 12:39:58 [ID:p-f1ij-a649-85ta],2025-12-08T14:25:06+00:00,2025-12-13T07:45:38.025870+00:00
061cefc82052af3bd5d06a79467b2884ff8d8a48,https://kamikouryaku.net/nightreign_eldenring/?%E9%9A%A0%E8%80%85,,[#5gzn] あれのおかげで、アーツ後メテオやアズール砲が当てやすくてとてもいい。 葬儀屋のHPが少ないときに使えば聖杯瓶の節約に貢献できるしね。 2025-12-10 (水) 12:39:58 [ID:p-f1ij-a649-85ta],2025-12-10T03:39:58+00:00,2025-12-13T07:45:38.025870+00:00
32b3ac61ced3f1e9ab818ba406018fa4562a0e8d,https://kamikouryaku.net/nightreign_eldenring/?%E9%9A%A0%E8%80%85,,[#7mds] 蘇生用に呪霊持ち込むのってどうなんだろう？ 着弾まではヘイト引かないならちょっと距離空けて連打すれば下手な魔術より起こしやすいかも 2025-12-09 (火) 15:39:55 [ID:m-9pyc-f849-bci9] [#ceh3] 下手な魔術使うより蘇生性能高い夜彗星とかハイマ砲丸とか溶岩弾とか使えばいいと思います なんなら拳とか爪とかでいい 2025-12-09 (火) 17:06:57 [ID:m-4pvu-9fb8-1wz8] [#a8te] 夜彗星よりはFP効率が良い、ヘイトもらわずに一気に蘇生分の鈴を鳴らせる（かも？）、スタミナ無くなっても打てるとかは独自の強みになりそうな気がするんだけどな ハイマが引けたらハイマで良いってのはその通り 2025-12-09 (火) 17:51:11 [ID:m-9pyc-f849-bci9] [#55hr] てか蘇生に使われがちな下手な魔術ってつぶてと速剣くらいじゃね 他は飛び抜けて削りが弱いとか効率悪いとかあんまない気が 2025-12-09 (火) 18:47:07 [ID:m-5eyv-f849-a6lq] [#9v2m] FP管理下手で蘇生が必要になった時に残FP見ずに蘇生始めるとかくらいですよね。 2025-12-10 (水) 00:12:47 [ID:p-9eud-97d9-7kwt] [#4zmk] 彗星系も夜以外はあんまり削れないから武器で殴る方が早い 2025-12-10 (水) 01:07:23 [ID:m-eps9-f849-4775] [#8y7s] 2ゲージ以上なら起こす時だけ武器捨てて素手殴りでいい。 2025-12-09 (火) 19:53:31 [ID:m-47sr-6f28-9zgv] [#5xcc] 蘇生用とかじゃなくていつでも使える第３の武器枠だから普通に強いし使い勝手がいい 遠くから３発撃って走ってって殴ればドーナツ２つまでなら秒で起こせる 時間差で着弾するのがとてもいい ドーナツ３つだと鈴４発撃って片手装備外してまた鈴３発撃って走ってって殴るとかなり早い 一人の時は無理だけど・・・ 2025-12-10 (水) 15:44:33 [ID:p-czge-f71a-70tp] [#7ype] 付帯が良いなら使いこなしても良いが、構成を崩してまで必要か？と言われると微妙かな 一気に起こしたいタイミングが存在するのは間違いないなくて有用な時も確かにある が、そもそも自分にヘイトが向いたなら味方が起こしに行くわけで、使わなくても大丈夫となってしまうから、個人プレーメインの人たちとやってる時ぐらいしか有用にはならないかな 2025-12-10 (水) 16:34:30 [ID:p-8qty-24c4-3l7g],2025-12-09T06:39:55+00:00,2025-12-13T07:45:38.025870+00:00
ccf42ee845dfc46ea178a074427e8bf06fbead26,https://kamikouryaku.net/nightreign_eldenring/?%E9%9A%A0%E8%80%85,,[#ceh3] 下手な魔術使うより蘇生性能高い夜彗星とかハイマ砲丸とか溶岩弾とか使えばいいと思います なんなら拳とか爪とかでいい 2025-12-09 (火) 17:06:57 [ID:m-4pvu-9fb8-1wz8] [#a8te] 夜彗星よりはFP効率が良い、ヘイトもらわずに一気に蘇生分の鈴を鳴らせる（かも？）、スタミナ無くなっても打てるとかは独自の強みになりそうな気がするんだけどな ハイマが引けたらハイマで良いってのはその通り 2025-12-09 (火) 17:51:11 [ID:m-9pyc-f849-bci9],2025-12-09T08:06:57+00:00,2025-12-13T07:45:38.025870+00:00
